occ_code_onet,aei_usage
49-9041.00,0.0207469732014839
49-9044.00,0.0042110193131724
49-9052.00,0.0028758180675324
49-9061.00,0.0055462205588124
49-9062.00,0.0136601358207789
49-9063.00,0.0023622791269016
49-9071.00,0.014995337066418899
49-9091.00,0.0025676947031539
49-9092.00,0.0023622791269016
49-9098.00,0.0016433246100185
49-9099.01,0.0064705906519479
51-1011.00,0.0032866492200369
51-2011.00,0.0020541557625231
51-2022.00,0.0050326816181816
51-2023.00,0.0015406168218923
51-2031.00,0.0076003763213356
51-3011.00,0.0105789021769941
51-3092.00,0.054948666647494294
51-4011.00,0.022287590023376096
51-4012.00,0.8479554987695607
51-4021.00,0.0016433246100185
51-4032.00,0.0015406168218923
51-4041.00,0.0339962778697582
51-4081.00,0.0759010554252307
51-4111.00,0.011708687846382
51-4121.06,0.0020541557625231
51-4191.00,0.0017460323981446
51-4192.00,0.001951447974397
51-5111.00,0.0262931937602962
51-5112.00,0.0055462205588125
51-5113.00,0.0017460323981446
51-6011.00,0.0024649869150277
51-6052.00,0.092334301525416
51-6061.00,0.0038001881606677997
51-6062.00,0.06866015636233665
51-6063.00,0.06866015636233665
51-6093.00,0.0021568635506493
51-7031.00,0.0030812336437847
51-7032.00,0.2419795488252283
51-8012.00,0.0160224149476806
51-8013.00,0.0109897333294989
51-8021.00,0.0017460323981446
51-8091.00,0.0050326816181816
51-8092.00,0.0054435127706863005
51-8093.00,0.044267056682374004
51-8099.02,0.029271719615955
51-8099.03,0.0018487401862708
51-9011.00,0.0039028959487939
51-9021.00,0.0021568635506493
51-9023.00,0.0020541557625231
51-9032.00,0.0049299738300555
51-9061.00,0.167105571281259
51-9071.01,0.0389262516998137
51-9071.07,0.012530350151391199
51-9082.00,0.0023622791269016
51-9083.00,0.0055462205588125
51-9151.00,0.058851562596288404
51-9192.00,0.0024649869150277
51-9194.00,0.0030812336437847
51-9195.05,0.0020541557625231
51-9195.07,0.0168440772526899
51-9198.00,0.0194117719558438
53-1021.00,0.0258823626077917
53-1021.01,0.0096545320838585
53-1031.00,0.0136601358207788
53-2011.00,0.00148926292782925
53-2012.00,0.00148926292782925
53-2021.00,0.008524746414471
53-2022.00,0.0125303501513911
53-2031.00,0.0050326816181817
53-3022.00,0.017665739557699
53-3031.00,0.0096545320838588
53-3032.00,0.0184874018627083
53-3041.00,0.0065732984400739
53-4011.00,0.0036974803725416
53-4013.00,0.0048272660419294
53-4021.00,0.0041083115250463
53-4031.00,0.0023622791269016
53-4041.00,0.0035947725844155
53-5021.01,0.012324934575138901
53-6021.00,0.0045191426775508005
53-6031.00,0.009757239871985
53-6041.00,0.0103734866007418
53-6051.08,0.0028758180675324
53-6061.00,0.0067787140163263
53-7011.00,0.0055462205588125
53-7032.00,0.0062651750756955
53-7062.00,0.0015406168218923
